2019 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($)
1,LAX,Los Angeles International,Los Angeles,CA,363.79
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,346.87
3,DEN,Denver International,Denver,CO,300.04
4,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,374.83
5,BOS,Logan International,Boston,MA,345.78
6,SFO,San Francisco International,San Francisco,CA,404.31
7,SEA,Seattle/Tacoma International,Seattle,WA,340.03
8,EWR,Newark Liberty International,Newark,NJ,417.35
9,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,408.04
10,JFK,John F. Kennedy International,New York-JFK,NY,402.09
11,LGA,LaGuardia,New York-La Guardia,NY,334.81
12,MCO,Orlando International,Orlando,FL,258.52
13,PHX,Phoenix Sky Harbor International,Phoenix,AZ,359.21
14,MSP,Minneapolis-St Paul International,Minneapolis,MN,363.38
15,LAS,McCarran International,Las Vegas,NV,249.39
16,PHL,Philadelphia International,Philadelphia,PA,379
17,SAN,San Diego International,San Diego,CA,334.32
18,DTW,Detroit Metro Wayne County,Detroit,MI,378.23
19,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,264.51
20,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,332.45
21,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,381.26
22,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,409.7
23,PDX,Portland International,Portland,OR,341.71
24,TPA,Tampa International,Tampa,FL,315.35
25,AUS,Austin - Bergstrom International,Austin,TX,345.46
26,SLC,Salt Lake City International,Salt Lake City,UT,376.35
27,CLT,Charlotte Douglas International,Charlotte,NC,424.94
28,SJC,Norman Y. Mineta San Jose International,San Jose,CA,300.14
29,RDU,Raleigh-Durham International,Raleigh/Durham,NC,340.73
30,MIA,Miami International,Miami,FL,347.78
31,SMF,Sacramento International,Sacramento,CA,348.37
32,BNA,Nashville International,Nashville,TN,346.93
33,MDW,Chicago Midway International,Chicago-Midway,IL,314.88
34,OAK,Metropolitan Oakland International,Oakland,CA,297.67
35,STL,St Louis Lambert International,St. Louis,MO,375.27
36,MCI,Kansas City International,Kansas City,MO,366.6
37,HNL,Daniel K Inouye International,Honolulu,HI,353.66
38,IAD,Washington Dulles International,Washington-Dulles,DC,462.38
39,DAL,Dallas Love Field,Dallas-Love Field,TX,325.26
40,CLE,Cleveland-Hopkins International,Cleveland,OH,316.11
41,MSY,Louis Armstrong New Orleans International,New Orleans,LA,305.66
42,IND,Indianapolis International,Indianapolis,IN,357.57
43,PIT,Pittsburgh International,Pittsburgh,PA,357.38
44,SNA,John Wayne Airport-Orange County,Santa Ana,CA,388.42
45,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,323.75
46,SAT,San Antonio International,San Antonio,TX,367.32
47,HOU,William P Hobby,Houston-Hobby,TX,346.37
48,CMH,John Glenn Columbus International,Columbus,OH,360.76
49,BDL,Bradley International,Hartford,CT,382.73
50,SJU,Luis Munoz Marin International,San Juan,PR,295.74
51,MKE,General Mitchell International,Milwaukee,WI,347.19
52,RSW,Southwest Florida International,Fort Myers,FL,313.28
53,JAX,Jacksonville International,Jacksonville,FL,348.65
54,BUR,Bob Hope,Burbank,CA,281.51
55,PBI,Palm Beach International,West Palm Beach/Palm Beach,FL,341.24
56,ONT,Ontario International,Ontario,CA,348.92
57,BUF,Buffalo Niagara International,Buffalo,NY,319.17
58,OMA,Eppley Airfield,Omaha,NE,373.59
59,ABQ,Albuquerque International Sunport,Albuquerque,NM,385.34
60,RIC,Richmond International,Richmond,VA,406.88
61,MEM,Memphis International,Memphis,TN,391.23
62,PVD,Theodore Francis Green State,Providence,RI,347.2
63,OKC,Will Rogers World,Oklahoma City,OK,395.68
64,BOI,Boise Air Terminal,Boise,ID,359
65,ORF,Norfolk International,Norfolk,VA,409.48
66,GRR,Gerald R. Ford International,Grand Rapids,MI,379.9
67,SDF,Louisville Muhammad Ali International,Louisville,KY,382.7
68,GEG,Spokane International,Spokane,WA,360.59
69,CHS,Charleston AFB/International,Charleston,SC,361.2
70,ANC,Ted Stevens Anchorage International,Anchorage,AK,436.04
71,RNO,Reno/Tahoe International,Reno,NV,351.67
72,LGB,Long Beach Airport,Long Beach,CA,230.61
73,OGG,Kahului Airport,Kahului,HI,276.72
74,ELP,El Paso International,El Paso,TX,385.94
75,TUS,Tucson International,Tucson,AZ,399.06
76,ALB,Albany International,Albany,NY,388.96
77,DSM,Des Moines International,Des Moines,IA,376.13
78,BHM,Birmingham-Shuttlesworth International,Birmingham,AL,449.51
79,TUL,Tulsa International,Tulsa,OK,407.16
80,SYR,Syracuse Hancock International,Syracuse,NY,361.61
81,ROC,Greater Rochester International,Rochester,NY,368.55
82,GSP,Greenville-Spartanburg International,Greer,SC,407.9
83,MSN,Dane County Regional-Truax Field,Madison,WI,439.7
84,TYS,McGhee Tyson,Knoxville,TN,404.96
85,LIT,Bill and Hillary Clinton Nat Adams Field,Little Rock,AR,424.8
86,KOA,Ellison Onizuka Kona International at Keahole,Kona,HI,272.42
87,PWM,Portland International Jetport,Portland,ME,377.64
88,SAV,Savannah/Hilton Head International,Savannah,GA,369.9
89,GSO,Piedmont Triad International,Greensboro/High Point,NC,427.06
90,HPN,Westchester County,White Plains,NY,404.87
91,SFB,Orlando Sanford International,Sanford,FL,119.29
92,PNS,Pensacola International,Pensacola,FL,419
93,LIH,Lihue Airport,Lihue,HI,279.01
94,FAT,Fresno Yosemite International,Fresno,CA,421.15
95,MHT,Manchester-Boston Regional,Manchester,NH,396.29
96,ICT,Wichita Dwight D Eisenhower National,Wichita,KS,396.63
97,DAY,James M Cox/Dayton International,Dayton,OH,437.52
98,XNA,Northwest Arkansas Regional,Fayetteville,AR,491.67
99,ISP,Long Island MacArthur,Islip,NY,269.82
100,PIE,St Pete Clearwater International,St. Petersburg,FL,124.92
101,COS,City of Colorado Springs Municipal,Colorado Springs,CO,375.85
102,MDT,Harrisburg International,Harrisburg,PA,410.59
103,SRQ,Sarasota/Bradenton International,Sarasota/Bradenton,FL,352.89
104,PSP,Palm Springs International,Palm Springs,CA,379.29
105,MYR,Myrtle Beach International,Myrtle Beach,SC,259.04
106,CID,The Eastern Iowa,Cedar Rapids/Iowa City,IA,411.2
