Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,4.110000,4.140000,4.050000,4.090000,3.528738,4635512
2016-01-05,4.050000,4.090000,4.020000,4.070000,3.511483,5056181
2016-01-06,4.090000,4.100000,3.990000,4.030000,3.476972,5992225
2016-01-07,4.080000,4.150000,4.055000,4.080000,3.520110,9610389
2016-01-08,4.070000,4.120000,4.010000,4.060000,3.502855,10392341
2016-01-11,4.000000,4.030000,3.950000,3.980000,3.433833,6487034
2016-01-12,4.020000,4.150000,4.020000,4.070000,3.511483,10774369
2016-01-13,4.100000,4.140000,4.065000,4.110000,3.545994,9464659
2016-01-14,4.060000,4.140000,4.020000,4.090000,3.528738,6608844
2016-01-15,4.140000,4.140000,4.000000,4.040000,3.485599,6197984
2016-01-18,4.000000,4.050000,3.970000,4.010000,3.459717,5189716
2016-01-19,4.020000,4.070000,4.005000,4.040000,3.485599,4852744
2016-01-20,4.050000,4.060000,3.980000,4.000000,3.451089,5497977
2016-01-21,4.090000,4.090000,3.920000,3.930000,3.390695,9135753
2016-01-22,3.990000,3.990000,3.920000,3.970000,3.425205,5415865
2016-01-25,3.980000,3.990000,3.780000,3.860000,3.330300,9985551
2016-01-27,3.830000,3.950000,3.830000,3.840000,3.313045,6982874
2016-01-28,3.860000,3.860000,3.790000,3.820000,3.295789,8601388
2016-01-29,3.860000,3.940000,3.845000,3.880000,3.347556,15500300
2016-02-01,3.940000,3.970000,3.900000,3.970000,3.425205,9453147
2016-02-02,3.970000,4.020000,3.930000,3.980000,3.433833,6083715
2016-02-03,3.930000,3.950000,3.850000,3.900000,3.364811,5818192
2016-02-04,3.880000,3.910000,3.810000,3.860000,3.330300,7571751
2016-02-05,3.880000,3.890000,3.785000,3.830000,3.304417,6264815
2016-02-08,3.820000,3.850000,3.760000,3.790000,3.269907,6010577
2016-02-09,3.730000,3.760000,3.670000,3.760000,3.244023,11681618
2016-02-10,3.840000,3.850000,3.730000,3.750000,3.235395,13969463
2016-02-11,3.780000,3.835000,3.765000,3.830000,3.304417,4702057
2016-02-12,3.750000,3.825000,3.730000,3.820000,3.295789,7617806
2016-02-15,3.850000,3.870000,3.800000,3.860000,3.330300,7163570
2016-02-16,3.890000,3.920000,3.840000,3.920000,3.382066,6804204
2016-02-17,3.880000,3.940000,3.870000,3.920000,3.382066,6043458
2016-02-18,3.910000,3.965000,3.905000,3.950000,3.407950,11543820
2016-02-19,3.950000,4.010000,3.930000,3.960000,3.416578,8466571
2016-02-22,3.990000,4.050000,3.980000,3.990000,3.442461,10917151
2016-02-23,4.100000,4.120000,3.745000,3.790000,3.269907,25737574
2016-02-24,3.840000,4.040000,3.830000,3.970000,3.425205,16661241
2016-02-25,4.000000,4.010000,3.870000,3.900000,3.364811,10494798
2016-02-26,3.880000,3.890000,3.840000,3.870000,3.338928,7566351
2016-02-29,3.870000,3.940000,3.860000,3.860000,3.330300,7715356
2016-03-01,3.860000,3.930000,3.850000,3.890000,3.356184,7865725
2016-03-02,3.920000,3.920000,3.870000,3.880000,3.347556,7409354
2016-03-03,3.880000,3.905000,3.800000,3.830000,3.304417,8949140
2016-03-04,3.800000,3.820000,3.710000,3.720000,3.209512,13210065
2016-03-07,3.710000,3.810000,3.680000,3.790000,3.269907,11885835
2016-03-08,3.800000,3.820000,3.750000,3.800000,3.278534,13318441
2016-03-09,3.850000,3.870000,3.825000,3.860000,3.330300,8874462
2016-03-10,3.850000,3.900000,3.810000,3.860000,3.330300,8044169
2016-03-11,3.850000,3.975000,3.850000,3.960000,3.416578,7447720
2016-03-14,4.010000,4.080000,4.000000,4.070000,3.511483,22331006
2016-03-15,4.060000,4.090000,4.050000,4.060000,3.502855,7868262
2016-03-16,4.090000,4.160000,4.070000,4.140000,3.571876,14750705
2016-03-17,4.140000,4.170000,4.100000,4.120000,3.554621,11264102
2016-03-18,4.090000,4.100000,4.010000,4.010000,3.459717,31181945
2016-03-21,4.050000,4.080000,4.020000,4.050000,3.494227,7724053
2016-03-22,4.070000,4.100000,4.060000,4.070000,3.511483,7239738
2016-03-23,4.080000,4.080000,4.050000,4.070000,3.511483,11986206
2016-03-24,4.070000,4.100000,4.040000,4.070000,3.511483,16676707
2016-03-29,4.070000,4.070000,4.020000,4.030000,3.476972,6063687
2016-03-30,4.070000,4.070000,3.960000,3.970000,3.425205,6617439
2016-03-31,4.040000,4.080000,4.020000,4.070000,3.511483,7281710
2016-04-01,4.060000,4.170000,4.030000,4.140000,3.571876,11057690
2016-04-04,4.140000,4.215000,4.115000,4.160000,3.589132,7442414
2016-04-05,4.130000,4.170000,4.030000,4.050000,3.494227,8907133
2016-04-06,4.060000,4.110000,4.045000,4.110000,3.545994,11254210
2016-04-07,4.110000,4.150000,4.030000,4.030000,3.476972,8093781
2016-04-08,4.020000,4.050000,3.965000,3.990000,3.442461,11586636
2016-04-11,3.980000,4.010000,3.960000,3.990000,3.442461,5902875
2016-04-12,4.000000,4.050000,3.970000,4.010000,3.459717,6524426
2016-04-13,4.000000,4.000000,3.940000,3.970000,3.425205,7833976
2016-04-14,3.980000,4.030000,3.980000,4.010000,3.459717,6200889
2016-04-15,4.010000,4.075000,3.990000,4.060000,3.502855,4632137
2016-04-18,3.900000,3.910000,3.480000,3.620000,3.123235,43224528
2016-04-19,3.640000,3.645000,3.430000,3.470000,2.993819,38295359
2016-04-20,3.440000,3.530000,3.320000,3.520000,3.036958,34841014
2016-04-21,3.550000,3.550000,3.390000,3.420000,2.950681,21871689
2016-04-22,3.360000,3.430000,3.360000,3.370000,2.907542,17898402
2016-04-26,3.340000,3.350000,3.210000,3.210000,2.769498,35346175
2016-04-27,3.180000,3.380000,3.160000,3.340000,2.881659,26934776
2016-04-28,3.360000,3.360000,3.220000,3.270000,2.821265,14966979
2016-04-29,3.230000,3.270000,3.205000,3.220000,2.778126,13983791
2016-05-02,3.220000,3.260000,3.195000,3.230000,2.786754,8806077
2016-05-03,3.240000,3.360000,3.210000,3.320000,2.864403,14168041
2016-05-04,3.360000,3.400000,3.330000,3.380000,2.916170,13798942
2016-05-05,3.400000,3.445000,3.380000,3.400000,2.933425,11856334
2016-05-06,3.370000,3.380000,3.290000,3.320000,2.864403,13423584
2016-05-09,3.280000,3.350000,3.270000,3.330000,2.873031,8979602
2016-05-10,3.360000,3.455000,3.350000,3.410000,2.942053,11914544
2016-05-11,3.440000,3.450000,3.390000,3.410000,2.942053,7074039
2016-05-12,3.380000,3.390000,3.330000,3.370000,2.907542,7250902
2016-05-13,3.360000,3.370000,3.275000,3.280000,2.829892,18298306
2016-05-16,3.290000,3.415000,3.290000,3.400000,2.933425,11380612
2016-05-17,3.350000,3.390000,3.300000,3.390000,2.924798,8741710
2016-05-18,3.320000,3.360000,3.280000,3.310000,2.855776,14260219
2016-05-19,3.290000,3.305000,3.230000,3.240000,2.795382,12536646
2016-05-20,3.230000,3.280000,3.230000,3.250000,2.804009,8035802
2016-05-23,3.260000,3.270000,3.200000,3.200000,2.760871,8360802
2016-05-24,3.200000,3.200000,3.080000,3.100000,2.674593,27570488
2016-05-25,3.100000,3.170000,3.100000,3.160000,2.726360,15261087
2016-05-26,3.150000,3.200000,3.120000,3.120000,2.691849,10781755
2016-05-27,3.100000,3.105000,2.990000,3.000000,2.588316,17298616
2016-05-30,3.020000,3.100000,3.005000,3.100000,2.674593,32674266
2016-05-31,3.080000,3.095000,3.045000,3.080000,2.657338,11013602
2016-06-01,3.030000,3.140000,3.020000,3.100000,2.674593,16099771
2016-06-02,3.070000,3.090000,2.980000,3.000000,2.588316,15985992
2016-06-03,3.000000,3.020000,2.915000,2.920000,2.519295,17031399
2016-06-06,2.910000,2.960000,2.880000,2.920000,2.519295,11895751
2016-06-07,2.940000,2.960000,2.920000,2.930000,2.527922,19086751
2016-06-08,2.940000,3.040000,2.930000,3.040000,2.622827,13959864
2016-06-09,3.060000,3.060000,2.980000,3.010000,2.596944,8182686
2016-06-10,3.000000,3.010000,2.950000,3.000000,2.588316,7915841
2016-06-14,2.940000,2.960000,2.860000,2.860000,2.467528,9679320
2016-06-15,2.850000,2.880000,2.770000,2.870000,2.476156,17444152
2016-06-16,2.950000,2.950000,2.840000,2.850000,2.458900,19420412
2016-06-17,2.890000,2.920000,2.850000,2.920000,2.519295,11246517
2016-06-20,2.940000,2.940000,2.865000,2.910000,2.510667,6740540
2016-06-21,2.910000,2.935000,2.890000,2.930000,2.527922,7388139
2016-06-22,2.930000,2.980000,2.890000,2.960000,2.553805,9019697
