Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,6.030000,6.100000,5.760000,5.890000,5.382120,8900060
2016-01-05,5.890000,5.940000,5.600000,5.770000,5.272467,8873802
2016-01-06,5.660000,5.710000,5.530000,5.600000,5.117126,13535483
2016-01-07,5.500000,5.600000,5.220000,5.360000,4.897821,22311296
2016-01-08,5.570000,5.600000,5.210000,5.220000,4.769892,22703473
2016-01-11,5.110000,5.160000,4.930000,4.950000,4.523174,32931556
2016-01-12,5.190000,5.220000,5.050000,5.080000,4.641964,17627042
2016-01-13,5.200000,5.340000,5.150000,5.240000,4.788168,24210101
2016-01-14,5.150000,5.150000,5.010000,5.040000,4.605413,16288288
2016-01-15,5.020000,5.150000,4.950000,4.990000,4.559725,16833760
2016-01-18,4.960000,5.140000,4.960000,5.100000,4.660239,17450000
2016-01-19,5.050000,5.120000,4.880000,5.110000,4.669378,20278000
2016-01-20,5.150000,5.260000,4.810000,5.010000,4.578001,26244000
2016-01-21,5.100000,5.220000,4.870000,4.970000,4.541449,19858316
2016-01-22,5.070000,5.080000,4.900000,5.020000,4.587138,16581091
2016-01-25,5.040000,5.170000,5.040000,5.160000,4.715066,11170800
2016-01-26,5.090000,5.200000,5.060000,5.070000,4.632827,20096704
2016-01-27,5.140000,5.140000,4.670000,4.840000,4.422659,56153750
2016-01-28,4.840000,4.900000,4.790000,4.890000,4.468348,15970341
2016-01-29,4.910000,4.990000,4.830000,4.980000,4.550587,25956100
2016-02-01,4.990000,5.020000,4.890000,4.950000,4.523174,13234000
2016-02-02,4.970000,5.010000,4.890000,4.980000,4.550587,10559293
2016-02-03,4.900000,4.900000,4.710000,4.770000,4.358695,11145564
2016-02-04,4.780000,4.830000,4.710000,4.750000,4.340420,9997806
2016-02-05,4.800000,4.860000,4.640000,4.660000,4.258180,10556106
2016-02-11,4.350000,4.520000,4.300000,4.500000,4.111976,13387702
2016-02-12,4.400000,4.490000,4.360000,4.420000,4.038875,13826300
2016-02-15,4.460000,4.870000,4.460000,4.860000,4.440934,15299510
2016-02-16,4.830000,4.980000,4.720000,4.840000,4.422659,11299797
2016-02-17,4.860000,4.940000,4.810000,4.840000,4.422659,30903184
2016-02-18,4.920000,5.020000,4.880000,4.900000,4.477486,14842487
2016-02-19,4.920000,5.020000,4.900000,5.010000,4.578001,8295295
2016-02-22,5.070000,5.100000,4.990000,5.040000,4.605413,4624364
2016-02-23,5.080000,5.120000,4.860000,4.890000,4.468348,11481345
2016-02-24,4.910000,4.960000,4.830000,4.840000,4.422659,9681069
2016-02-25,4.830000,4.880000,4.600000,4.630000,4.230767,15605111
2016-02-26,4.750000,4.800000,4.630000,4.750000,4.340420,11232350
2016-02-29,4.750000,4.790000,4.600000,4.610000,4.212491,7597653
2016-03-01,4.630000,4.720000,4.600000,4.690000,4.285594,5586000
2016-03-02,4.780000,4.930000,4.770000,4.920000,4.495761,17314331
2016-03-03,4.930000,4.950000,4.850000,4.870000,4.450072,7025312
2016-03-04,4.920000,4.980000,4.870000,4.960000,4.532312,15971787
2016-03-07,5.010000,5.090000,4.960000,5.020000,4.587138,8997480
2016-03-08,5.020000,5.020000,4.870000,4.890000,4.468348,7668871
2016-03-09,4.880000,4.910000,4.770000,4.900000,4.477486,6529653
2016-03-10,4.880000,4.960000,4.790000,4.840000,4.422659,4510124
2016-03-11,4.790000,5.020000,4.790000,5.000000,4.568863,7530858
2016-03-14,5.120000,5.300000,5.060000,5.220000,4.769892,17885596
2016-03-15,5.180000,5.240000,5.070000,5.120000,4.678516,7274000
2016-03-16,5.170000,5.170000,5.040000,5.070000,4.632827,7156000
2016-03-17,5.190000,5.390000,5.100000,5.330000,4.870407,17474000
2016-03-18,5.350000,5.480000,5.320000,5.450000,4.980060,18968253
2016-03-21,5.540000,5.540000,5.390000,5.450000,4.980060,10419333
2016-03-22,5.450000,5.510000,5.320000,5.340000,4.879545,16575745
2016-03-23,5.450000,5.450000,5.250000,5.270000,4.815581,12148483
2016-03-24,5.280000,5.320000,5.210000,5.240000,4.788168,8347049
2016-03-29,5.320000,5.350000,5.230000,5.270000,4.815581,13554911
2016-03-30,5.430000,5.430000,5.230000,5.260000,4.806444,13045326
2016-03-31,5.350000,5.560000,5.330000,5.510000,5.034887,22669226
2016-04-01,5.500000,5.690000,5.480000,5.610000,5.126264,29410300
2016-04-05,5.650000,5.890000,5.630000,5.870000,5.363844,35104434
2016-04-06,5.870000,5.920000,5.700000,5.810000,5.309018,18493279
2016-04-07,5.900000,6.080000,5.850000,6.070000,5.546600,33181644
2016-04-08,5.980000,6.120000,5.920000,6.080000,5.555737,14356212
2016-04-11,6.060000,6.230000,6.010000,6.170000,5.637976,14246443
2016-04-12,6.160000,6.180000,6.090000,6.120000,5.592288,7986301
2016-04-13,6.240000,6.300000,6.170000,6.290000,5.747629,13554480
2016-04-14,6.440000,6.460000,6.230000,6.230000,5.692802,9103380
2016-04-15,6.310000,6.310000,6.100000,6.220000,5.683665,6739677
2016-04-18,6.300000,6.330000,6.040000,6.130000,5.601426,11667772
2016-04-19,6.170000,6.240000,6.030000,6.130000,5.601426,10156137
2016-04-20,6.160000,6.320000,6.100000,6.170000,5.637976,10206161
2016-04-21,6.190000,6.270000,6.120000,6.150000,5.619701,4031814
2016-04-22,6.050000,6.100000,5.970000,6.000000,5.482635,6974053
2016-04-25,6.010000,6.120000,5.840000,5.850000,5.345569,8868990
2016-04-26,5.850000,5.970000,5.780000,5.950000,5.436946,11981936
2016-04-27,5.930000,5.950000,5.820000,5.850000,5.345569,7960523
2016-04-28,5.960000,6.190000,5.950000,6.180000,5.647114,18776161
2016-04-29,6.180000,6.180000,5.880000,5.900000,5.391258,9840272
2016-05-03,5.810000,5.890000,5.510000,5.520000,5.044024,26875696
2016-05-04,5.500000,5.750000,5.500000,5.740000,5.245054,24326132
2016-05-05,5.650000,5.850000,5.640000,5.780000,5.281605,18378798
2016-05-06,5.740000,5.810000,5.660000,5.740000,5.245054,13221495
2016-05-09,5.800000,5.890000,5.700000,5.840000,5.336432,12533253
2016-05-10,5.770000,5.850000,5.610000,5.770000,5.272467,14288115
2016-05-11,5.840000,5.860000,5.680000,5.820000,5.318156,11294121
2016-05-12,5.690000,5.920000,5.690000,5.830000,5.327294,10499000
2016-05-13,5.750000,5.790000,5.610000,5.630000,5.144539,14548333
2016-05-16,5.520000,5.700000,5.500000,5.620000,5.135401,15086713
2016-05-17,5.650000,5.770000,5.640000,5.740000,5.245054,11244000
2016-05-18,5.580000,5.650000,5.550000,5.620000,5.135401,11394673
2016-05-19,5.560000,5.680000,5.380000,5.410000,4.943509,13294640
2016-05-20,5.390000,5.480000,5.360000,5.370000,4.906958,11446634
2016-05-23,5.370000,5.480000,5.300000,5.360000,4.897821,7998000
2016-05-24,5.340000,5.470000,5.340000,5.460000,4.989198,11091407
2016-05-25,5.590000,5.590000,5.250000,5.330000,4.870407,18120000
2016-05-26,5.280000,5.330000,5.180000,5.230000,4.779031,19182883
2016-05-27,5.200000,5.220000,5.110000,5.140000,4.696790,24008586
2016-05-30,5.060000,5.090000,5.000000,5.060000,4.740817,12370085
