2019 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($)
1,LAX,Los Angeles International,Los Angeles,CA,277.8
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,247.57
3,DEN,Denver International,Denver,CO,233.31
4,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,262.61
5,BOS,Logan International,Boston,MA,254.58
6,SFO,San Francisco International,San Francisco,CA,312.37
7,SEA,Seattle/Tacoma International,Seattle,WA,270.57
8,EWR,Newark Liberty International,Newark,NJ,301.37
9,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,287.32
10,JFK,John F. Kennedy International,New York-JFK,NY,321.04
11,LGA,LaGuardia,New York-La Guardia,NY,241.69
12,MCO,Orlando International,Orlando,FL,208.44
13,PHX,Phoenix Sky Harbor International,Phoenix,AZ,248.87
14,MSP,Minneapolis-St Paul International,Minneapolis,MN,257.49
15,LAS,McCarran International,Las Vegas,NV,206.15
16,PHL,Philadelphia International,Philadelphia,PA,258.1
17,SAN,San Diego International,San Diego,CA,263.92
18,DTW,Detroit Metro Wayne County,Detroit,MI,280.08
19,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,218.92
20,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,235.43
21,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,263.04
22,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,335.16
23,PDX,Portland International,Portland,OR,271.67
24,TPA,Tampa International,Tampa,FL,250.04
25,AUS,Austin - Bergstrom International,Austin,TX,263.64
26,SLC,Salt Lake City International,Salt Lake City,UT,297.77
27,CLT,Charlotte Douglas International,Charlotte,NC,320.14
28,SJC,Norman Y. Mineta San Jose International,San Jose,CA,230.55
29,RDU,Raleigh-Durham International,Raleigh/Durham,NC,260.48
30,MIA,Miami International,Miami,FL,246.67
31,SMF,Sacramento International,Sacramento,CA,251.53
32,BNA,Nashville International,Nashville,TN,224.46
33,MDW,Chicago Midway International,Chicago-Midway,IL,207.32
34,OAK,Metropolitan Oakland International,Oakland,CA,211.28
35,STL,St Louis Lambert International,St. Louis,MO,245.43
36,MCI,Kansas City International,Kansas City,MO,248.74
37,HNL,Daniel K Inouye International,Honolulu,HI,268.9
38,IAD,Washington Dulles International,Washington-Dulles,DC,322.69
39,DAL,Dallas Love Field,Dallas-Love Field,TX,216.92
40,CLE,Cleveland-Hopkins International,Cleveland,OH,228.3
41,MSY,Louis Armstrong New Orleans International,New Orleans,LA,237.85
42,IND,Indianapolis International,Indianapolis,IN,242.96
43,PIT,Pittsburgh International,Pittsburgh,PA,249.02
44,SNA,John Wayne Airport-Orange County,Santa Ana,CA,274.94
45,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,214.79
46,SAT,San Antonio International,San Antonio,TX,262.51
47,HOU,William P Hobby,Houston-Hobby,TX,235.24
48,CMH,John Glenn Columbus International,Columbus,OH,258.72
