Year,Quarter,DOMESTIC,LATIN AMERICA,ATLANTIC,PACIFIC,INTERNATIONAL,TOTAL
2000,1,139162,58927,-68918,-106308,839,23702
2000,2,1570500,-86040,250371,154724,9541,1899096
2000,3,548903,33056,226224,83675,45470,937327
2000,4,-267068,6639,-95916,5533,23388,-327425
2000,TOTAL,1991496,12581,311761,137623,79238,2532700
2001,1,-822384,76822,-59644,-101160,-3410,-909776
2001,2,-774977,3683,116147,-205108,-62860,-923115
2001,3,-2232653,-6375,-44209,-272018,-4848,-2560103
2001,4,-3404841,-63631,-194802,-190370,-19871,-3873515
2001,TOTAL,-7234855,10499,-182509,-768656,-90989,-8266509
2002,1,-2621918,-176148,-372012,-89470,9187,-3250361
2002,2,-1298581,-44110,-43360,-49899,-33900,-1469850
2002,3,-2351704,-67435,-38578,-64051,27239,-2494531
2002,4,-3056898,-149090,-575563,-288296,-80895,-4150742
2002,TOTAL,-9329102,-436783,-1029513,-491717,-78369,-11365484
2003,1,-1085012,-51869,-452157,-330213,-1673,-1920924
2003,2,606461,100285,168328,-227315,-340,647420
2003,3,-642496,129566,290670,-51195,7554,-265900
2003,4,-348536,107826,109623,-42980,-1997,-176064
2003,TOTAL,-1469581,285808,116463,-651702,3543,-1715469
2004,1,-1622122,201821,31510,-73884,6499,-1456177
2004,2,-2018851,42467,115648,-61035,6648,-1915125
2004,3,-1702368,38782,331619,94637,113802,-1123527
2004,4,-4562813,30756,-71246,-31241,24949,-4609595
2004,TOTAL,-9906154,313825,407530,-71523,151897,-9104424
2005,1,-2956735,95583,-202866,-179050,35932,-3207135
2005,2,-1511275,30014,207515,-249681,36266,-1487161
2005,3,-2231293,-43150,164743,-293751,70285,-2333166
2005,4,-13048233,-802628,-2278672,-4111334,48434,-20192434
2005,TOTAL,-19747536,-720181,-2109279,-4833816,190916,-27219896
2006,1,12049285,1110214,2966133,4705502,31349,20862482
2006,2,-642693,42078,83950,-186742,9296,-694110
2006,3,-592826,190769,310776,-109207,38787,-161700
2006,4,-1770107,121001,-172714,-57349,58610,-1820559
2006,TOTAL,9043659,1464063,3188145,4352204,138042,18186112
2007,1,-488478,303476,112807,-39093,44269,-67019
2007,2,3403274,368016,1224053,922144,62075,5979562
2007,3,626687,242447,591292,302755,37068,1800249
2007,4,-545608,221388,120177,135670,46986,-21387
2007,TOTAL,2995875,1135327,2048328,1321476,190398,7691404
2008,1,-9777777,-335226,-1326883,-151807,-8011,-11599703
2008,2,-2254820,-221837,-849465,-953640,3106,-4276656
2008,3,-2633833,171764,-213390,-58070,14972,-2718557
2008,4,-3507540,-29950,-886774,-499005,-231649,-5154919
2008,TOTAL,-18173970,-415249,-3276511,-1662522,-221582,-23749834
2009,1,-1516128,136650,-446958,-63964,45643,-1844758
2009,2,-344471,-11264,-164482,-114056,5612,-628662
2009,3,-144230,86376,-3069,-58753,17452,-102224
2009,4,-247244,192905,-20067,23138,100634,49366
2009,TOTAL,-2252074,404667,-634577,-213634,169340,-2526277
2010,1,-704121,40958,-146182,107467,86152,-615726
2010,2,657279,95963,396501,359678,86089,1595509
2010,3,1178343,262817,397620,461467,69066,2369313
2010,4,44633,235472,-200267,174245,62815,316898
2010,TOTAL,1176134,635210,447673,1102857,304122,3665995
2011,1,-455423,177773,-612217,37456,4263,-848148
2011,2,1152067,151816,-285411,-24198,9125,1003401
2011,3,761688,420131,94273,199367,6956,1482415
2011,4,-17775,162680,-363956,9876,-36306,-245480
2011,TOTAL,1440558,912402,-1167311,222501,-15962,1392188
2012,1,-213497,-357006,-876974,-196898,-47476,-1691852
2012,2,1513613,-104616,-293620,-310960,-33105,771313
2012,3,564041,187415,309960,327948,-19657,1369708
2012,4,348019,169237,-269382,-240082,-93230,-85437
2012,TOTAL,2212176,-104970,-1130016,-419991,-193468,363732
2013,1,227114,290326,-372745,-335847,145522,-45631
2013,2,2147207,-59773,299871,-198500,-42398,2146407
2013,3,2384395,125408,620320,83532,9086,3222741
2013,4,5763127,156472,899296,610054,-41253,7387696
2013,TOTAL,10521844,512433,1446741,159239,70956,12711213
2014,1,926580,22305,-269343,-145495,15751,549797
2014,2,3467788,-54932,521443,-120602,35687,3849384
2014,3,2828108,-75577,633410,96429,40277,3522647
2014,4,1422907,-131575,-342098,-468313,37883,518805
2014,TOTAL,8645383,-239780,543413,-637981,129598,8440634
2015,1,3055504,213705,152544,79301,43486,3544541
2015,2,4678728,158598,655387,201055,38855,5732622
2015,3,6494263,604630,1683382,888611,-15769,9655117
2015,4,6983407,25921,407138,-7333,38520,7447652
2015,TOTAL,21211902,1002854,2898451,1161633,105091,26379931
2016,1,2856167,362407,43896,226726,5922,3495119
2016,2,4229096,279168,326080,257402,2399,5094145
2016,3,3407438,266508,351436,163709,6472,4195563
2016,4,2861738,141921,-91411,-168870,81537,2824916
2016,TOTAL,13354439,1050005,630002,478968,96330,15609744
2017,1,2647152,61452,-134888,-240086,-15375,2318254
2017,2,5046701,152157,115185,-259166,-59347,4995529
2017,3,3575301,380782,19548,-87092,13447,3901986
2017,4,5752299,156080,-227641,-255386,163358,5588711
2017,TOTAL,17021453,750471,-227796,-841730,102083,16804481
2018,1,3157073,341526,319232,-399452,20232,3438610
2018,2,3745492,150583,396013,-215682,32741,4109147
2018,3,3481675,336129,391801,-119818,40944,4130730
2018,4,3554690,205160,11404,-272172,80929,3580010
2018,TOTAL,13938929,1033398,1118450,-1007124,174844,15258498
2019,1,2732085,269912,-146614,-143659,-25952,2685771
2019,2,4891390,337052,278518,-275831,17323,5248453
2019,3,4344519,477840,323253,-191276,-50583,4903753
2019,4,3739229,465079,-76833,-340004,-192926,3594546
2019,TOTAL,15707223,1549883,378323,-950769,-252138,16432523
2020,1,-3227152,-251044,-924766,-553586,12488,-4944059
2020,2,-8050996,-432400,-1134773,-720025,381609,-9956585
2020,3,-8832375,-609655,-763418,-386205,191555,-10400098
2020,TOTAL,-20110523,-1293098,-2822957,-1659815,585652,-25300741
